PC1	PC2	VOC
-0.0416751413796498	0.0244838542884651	Ethyl alcohol 
-0.00156121333094831	-0.00218002146687153	2-Propenal 
-0.00313123018858808	-0.00435900046294969	Trimethylamine 
0.111944040504185	0.0564489637919059	2-Methylpropanal
-0.00526157034182847	0.0218866543368593	2,3-Butanedione 
0.0019191233384963	-0.0014336645603619	2-Propen-1-ol
-0.00147232162407783	0.00183293002526793	2-Ethoxy-2-methylpropane
-0.0073877342551808	0.0029967529720465	3-Methyl-2-butanone 
0.127276770279797	0.059108299846544	2-Butanone 
-0.000740292120274205	0.00095492837531573	Amylene Hydrate
-0.00733025578899117	0.0136253939314911	Acetic acid 
0.00356441763054197	0.000615477292858545	25
-0.00110110108935998	-0.00282358034312229	Benzene 
-0.006458405827041	0.00918543963129828	2-Pentanone
-0.00120434451899801	0.00303083745823044	2,3-Pentanedione
-0.0029273413622596	0.000745622040949566	1-Penten-3-ol 
0.000277435099900586	-0.000778605166896949	Pentanal
-0.000624097916957057	0.000294858869237171	Propanoic acid  
0.915389163055261	-0.101656776045188	3-Hydroxy-2-butanone
0.103699730829254	-0.00464953120525581	1-Hydroxy-2-propanone 
-0.000150536003201447	0.000280288068733092	3-Methyl-1-buten-1-ol 
-0.00122947539757995	0.00184440365508919	2E-Penten-1-ol
0.0557769324009227	-0.00782242226686626	4,4-Dimethyl-2-pentanone
-0.0049061225709743	-0.000976562105130585	Methyl Isobutyl Ketone
-1.22353913189349	0.636136734446043	Dimethyl disulfide
-0.0754630025055109	0.163426037923319	520
0.000240857241732542	0.000831770507515086	3-Methyl-1-butanol
-0.0382313024760296	0.0703167442299004	2,2,3-Trimethylpentane
-0.00150392411325249	0.0015119871045209	2,2,5,5-Tetramethyltetrahydrofuran
0.000187363419573392	0.000734912424725849	1-Pentanol
0.00151499257063674	-0.00142667248779336	Toluene
-0.000147237531673122	0.000223317197897468	3-Hexanone
-0.00599633458380105	0.000784633822294352	Cyclopentanone
0.000614561112752812	0.000427893615435513	2-Hexanone
0.000988126101864108	0.000184424553948265	321
0.00498097135422611	0.0342144805099694	4-Methyl-3-penten-2-one
0.00105864810512796	6.67194114744083e-05	Hexanal
0.0124959090184517	0.00419920591213818	2,3-Butanediol 
0.00815222918991857	-0.000679856002153017	552
-0.00106140697903409	0.00033839484659859	Butanoic acid 
3.47291966658299e-05	0.000280661433557265	72
9.65407128441404e-05	-0.000202695995564746	2,4-Dimethylheptane
0.00504008155743159	-0.0105290200157861	36
0.000990643423651147	-0.00018150035715139	Ethyl 2-methylbutyrate 
-0.00146802108507509	0.00201717760983525	Furfural
0.000338625474633845	0.00101949458292391	2,4-Dimethyl-1-heptene
0.000224241593795885	-3.32204093723644e-05	Crotonic acid
0.00193562178118865	0.00614238030631128	4-Hydroxy-4-methyl-2-pentanone
-0.000517571872142007	0.00148625398263695	2-Methyl-1H-Pyrrole
0.405674352333231	-0.0335557023666042	2,4,5-Trimethyloxazole 
-0.00228511618901342	0.00354678414215877	5-Methyl-2-hexanone 
0.00123021993388106	0.00228622854893517	2-Furanmethanol 
-0.0010068513743454	0.00458518373288543	Ethylbenzene
0.000189537288114288	5.48191296275909e-05	4-Methyloctane
0.000143165545824514	-0.000194784517384046	3-Methylpyridine 
-0.000297228881301488	-5.00878776243355e-05	Isovaleric acid
-0.00371483791644341	0.0113485731767724	p-Xylene
0.000393136969816623	-0.000282793201800687	146
-0.0003040775392607	-0.000325062404797373	1-Hexanol
-5.82913129616113e-05	0.00188359613472697	2-Methylbutanoic acid
-0.00122295715134698	-0.00136426789172006	310
0.000355489676974748	0.000104185233565876	3-Heptanone
-0.000689923121663837	0.0338090537746566	Styrene
0.0159567044246748	0.0183400808548061	2-Heptanone 
-0.00178020390336103	0.0021082846787075	Cyclohexanone
-0.00295703735355048	0.00599557601454222	o-Xylene
0.00209760316170427	0.00158313894411985	Butyl acrylate
-0.000552046012977861	0.000288348561507037	Pentanoic acid 
0.000368957638112396	-1.68520430930271e-05	Nonane
0.000277874161345968	0.00041857434278077	Butyrolactone
0.00053649130948148	0.000503202879390807	Heptanal
-0.00015436587224608	0.000224891253763574	2-Acetylfuran 
0.1882199987348	-1.10033928302724	2,5-Dimethylpyrazine
0.000804839118738798	0.00174743126556124	141
-0.000761764938799532	0.0247376114323129	322
0.00141557003242747	-3.26173222936186e-05	2(5H)-Furanone
-5.82711557816025e-05	0.000471165359960195	Cumene
8.49310466681646e-05	-8.82335617178109e-05	Methyl hexanoate
-0.00108450157678926	-0.00102974172881186	323
-0.00154169122669329	0.0138680691612087	1-Nitropentane
-0.000165342804961469	0.0034598499596903	30
-2.71400433265779e-05	-0.000149734461345418	alpha-Pinene
0.00434380512552902	-0.000444283647324915	1,2-Cyclopentanedione
0.00424470366153356	-0.000428453563509217	2-Hydroxy-2-cyclopenten-1-one
0.00186992271379551	0.000114963699970138	4-Methyl-2-heptanone
0.000615449676599057	0.00152271798812811	548
0.00307330811517248	-0.000318830617380391	549
0.000966795295497457	0.000651405826981724	Propylbenzene
0.000828870908325536	0.00199775498701477	2-Methyl-6-heptanone
-8.38407645797043e-05	0.000533339881481005	6-Methyl-Heptan-2-ol
0.000972347286564586	-0.000928462008573886	316
-0.00229664071193449	-0.00683405715655419	Benzaldehyde
-0.000941171279537228	0.0145823485919176	5-Methyl-2-heptanone
-6.54596427673623e-05	-0.000181838948911193	5-Methylfurfural
-0.240276328327025	-0.236378165447517	Dimethyl trisulfide
0.025758869854285	-0.0020653388695036	521
0.00159374075283723	-0.000412146090337686	Heptanol
-0.000492417571730602	0.00110948605849831	515
-0.00138881104969334	0.0021521650338416	1-Octen-3-ol
