Compund	900_1	900_2	900_3	900_4	900_5	738_1	738_2	738_3	738_4	738_5	962_1	962_2	962_3	962_4	962_5	862_1	862_2	862_3	862_4	862_5	876_1	876_2	876_3	876_4	876_5	BHB_1	BHB_2	BHB_3	BHB_4	BHB_5	947_1	947_2	947_3	947_4	947_5	341_1	341_2	341_3	341_4	341_5	908_1	908_2	908_3	908_4	908_5
Styrene	641713.1	486975.8	465241.2	519654.6	549655.9	498857	545957	491881.4	435282	469185.8	494836.6	516031.1	530952.6	577066.9	503323.1	560664.2	538258.6	520154.5	408004.9	491351.3	469673.6	411769.3	394437.6	377473.1	345478.7	644830.1	484666.2	394018.4	448556	408747.6	449184	447299.0	391721.8	441529.3	366618.1	379652.6	388609.6	397455.2	358770.3	472063.5	433803.1	419538.0	311965.3	426264.1	346865.7
2-Methylbutanoic acid 	28275	22445.5	21705.6	22930.8	22508.4	23031.8	25368.5	23190.9	20462.1	21882.9	21936.7	24032.5	24239.4	26790.6	22859.1	25006.6	25553.9	23820.1	18957.3	23587.6	21193.3	18754.2	17601.3	16852.8	15772.5	29498.6	23147.1	18530.5	20053.6	18285.6	19892.5	20529.9	17450.3	20062.8	16394.3	17727.2	16934.4	18643.2	14725.5	21230.8	18888.4	18614.9	13642.5	19493.9	15586.7
2-Heptanone 	6529.7	7123.6	5366.6	7002.9	7637.8	24392.7	23616.4	20786	20409.4	22133.5	7225.6	4098.7	8282.7	4593.1	5253.1	96043.1	124152.9	101509.1	87058.3	113940.6	56569.2	52648.5	58807.7	51209.1	49067.7	7218.2	6979.0	12014.9	6883.5	7288	14106.2	12257.8	9331.3	13693.1	15707.9	5847.6	5879.5	8009.3	7406.8	7978.7	4008.6	4305.0	4309	4567.5	3970.9
Butyl acrylate																9345.1	10131.3	9444.2	8127.1	8912.2	6370.8	5381.3	5628.4	5537.9	6063.7																				
o-Xylene	67160.6	54806.5	51199.7	86040.5	63521.6	58023.3	58772.2	55602.6	53147.3	55915.2	57638.5	59656.6	59533.7	70131	56655.2	71192.2	70384.2	70692.3	53575.5	65407.6	46964.7	40898.5	41745.7	42986.6	37323.9	83690.3	63729.5	53547.4	64078.9	58430.5	51483.5	53019.3	47561.7	52150.7	47276	49925.5	48142.2	50991.7	46779.5	59245.3	51149.2	49089.8	36812.3	50648.7	42843.3
Cyclohexanone	10636.5	9152.7	8330.4	9069.2	8084.2	21705.7	21864.8	26284	21836.8	24483.8	5182.7	4849.2	6243.2	5947.1	5897.2	6155.8	6373.2	6066.9	6367.3	7268.9	4465.4	3943.5	4998.3	3450.5	4678.4	16529.5	17746.5	20121.2	21362.1	18140.7	7822.9	7656.5	7765.1	7656.1	8035	8831.4		6455.5	4180.4	6111.2	6882.7	6710.4	6392.8	8877.8	6832.8
Pentanoic acid 	1145.7	1867.3	17436.7	3673.1	3651.3						1466.5	1500.6	2191.4	1374.5	2615.3		1533.0	2260	3748.6	5291.3											2189.5	2259.9	2036.6	1627.3	1922.3										
Nonane	3430.2	3072.8	3818.1	3875.8	5692.4	3926.1	4068.7	3835	3593.8	3829.4	2013.5	1849.9	4341.3	2783.1	2405.8	3293.1	3074.9	2997.2	3405.8	2709.2	3224.4	4429.3	4495.1	4140.2	3473	3621.9	3249.4	4850.9	4721.9	3879	3276.4	3252.1	2968.3	3345.1	3427.1	4229.7	2566.1	3151.9	2673.6	2794.8	2391.4	3112.9	3836.8	3039.6	2556.1
4Z-Heptenal																																													
Butyrolactone		1171.5		1529.5	1989.8	1484.4	1950.2	2616.7	2380.5	1844.5			1446.6	1513.5	1421.8	1580.7	1743.5	1991.9	4339.9	1986.7	1027.5		2864.1	2448.8	3180.8	1224.4	1062.9		3183.9	2417.6						1010.8		2218.7	1973.6	2600.2			2564.4	2936.3	2302.4
Heptanal	1255.4	1916.5		2634.3	4664.8	1737.5	3235.8	4110.6	4650.9	3567.8	1964.2	1451.6	2929.2	3275.5	2741.3	1134.3	3168.2	3759.3	6748.7	4583	1440.4	1511.9	5669.8	5690.9	6821.5	1805.8	1103.0		6405.4	5480.1	1385.8	1516.1	5045	4980.4	3690.9	1878.2		5180	4755.7	5197.3	1031.1		2026.6	6089.3	4131.5
62																																										1049.2	1070.2	1107	
2,5-Dimethylpyrazine	4841179	2853276	2633462.9	2541656.3	3083669.4	1166754.7	1419309.4	1241765.8	1104811.6	1227715.2	115822.9	84105.6	117116.4	118581.4	91216.2	2552528.7	1916601.2	2938324.4	1859978.3	1969055.6	3026015.7	3559705.8	3457667.8	3952104.3	3512329.5	1512766	1556202.7	1230600	1969428.8	1538470.4	12214113.7	8744261.4	12283762.6	11601286.7	16228294.6	3354866.7	2667091.4	2996126.3	2150171.6	2639534.1	2928402.9	2536386.5	2233485.6	3348076.8	2495423.3
2-Acetylfuran 	5839.1	5471.5	7669.1	5841.4	5613	7700.3	7781.7	13216	7669.6	5942.1	4875.6	2585.5	5237.4	4456.2	4657.6	4784.1	5993.8	5514.1	6566.4	6514	5083.1	4527.8	5315.9	4263	4781.7	9147	4822.4	128914.8	7500.4	5616.8	4455	4361.7	5811.1	3402.5	3781.6	6712.2	5039.5	5696.5	5055	7647.7	4817.5	6483.5	4682.1	5485	4379.7
141	12050.4	9392.8	7285.9	15723.8	10785	10100.5	8610.5	9633.4	10554.7	13547.5	8457	9013.2	8317.1	12355.1	14335.1	13773.1	8455.5	14982.8	13355.3	19732.6	8619	12217.2	12217.2	13255.1	18605.5	13236.6	17103.0		16173.9	21485.1	17822	16489.2	17856.7	13618.1	19754.1	3180.3	18021.5	8063.9	9492.9	13072.5	5949.1	15575.1	4352	2631.2	5525.2
322	77495.8	112160.9	122991.6	203034.7	195034.3	143383.6	113491.1	155173.5	157807.8	182441.4	146977	150088.9	144731.1	193033.7	237021.8	168976.5	124668.6	177942.4	184669	276804.8	135534.7	168835.6	145026.2	212346.6	27361.1	171530.1	252977.7		240240.6	311959.7	116788.9	147021.2	191150.8	109323.9	193393.2	71547.9	280002.2	125803.3	122994.9	235634.7	91447.1	271250.4	58996.1	36337.2	81156.4
2(5H)-Furanone	14301.4	9708	15406.8	14923.9	10552.6	14305.7	17444	20427.9	22925.7	8333.8	11480	5775.8	14267.9	9381.1	9360.6	8042.2	9613.6	6313.9	23494.3	13373.1	13717.5	7874.8	13159.7	22174.8	12959.1	12085.2	7630.7	52649.9	15579.7	7033.6	19350.1	7513.5	6656.6	8075.4	6176.1	16581.2	13337.6	7334.3	6079	9367	7404.8	15721.1	8266.1	10104.9	8603.7
323		4581.3	8888.5	5464.5	5463.7	8978	9085.8	7959.9	15195.9	2774.3																										5633.1	3164.7	3147.9	3054.2	3903.4	3788.5	7453.9		4704	4135.7
Cumene	7478.2	6408.2	6863.8	6466.5	7651.5	6273.5	8367.2	7435.9	6764.3	6644.1	5615	6428.3	6799.2	7456.5	6745.1	7258.1	7461.4	7903.2	6085	6810.7	5654.8	5190.7	5664.3	5527.4	5119	7869.7	6411.8	6449.9	6411.1	6217.6	6028.8	6240.8	5558.6	6559.7	5751.2	4842.4	5115.8	5789.5	5192.3	6406.2	6202.6	5924.2	4822.8	6622.9	5473.8
Methyl hexanoate	3669.4	3159	2751.2	3008.5	3263.4	1904.1	3699.8	4097.3	4027.2	4137	2850.1	3236.9	4057.9	3489.2	3810.8	4096.5	2679.2	3947.6	3769.8	3813.3	2797.1	3672.9	3650	3945.1	4013.5	3286.9	3328.3	5423.9	4362.9	3870.9	3822.5	3355.3	3231.9	4628.8	4556.3	4091.6	3928.0	4407.7	4088.2	5144.1	4711.8	3838.5	3876.7	4753.4	4136.7
1-Nitropentane	154962.3	111238.6	128277	151007.4	140548.2	76580.4	123948.6	102285.7	90449.1	100603.5	72339.3	110419.4	119856.9	92750.7	114381.6	87197.6	119574.0	86472.5	93770.2	118123.8	86342.8	63595.3	87669.8	67414.5	74268.9	117541.7	104538.2	101382	104516.1	95765.1	116812.1	95771.3	71119.9	68634	62135.4	78969	67541.5	81222.9	73973.6	73973.6	35460.8	45354.7	37604.7	65255.2	46914.9
30	36976.9	26822.4	28976.1	34443.8	32517.7	18608.3	29760.3	24383.1	21178	23486.5	17721.9	26923.2	28636.1	21806.2	26798	21480	29295.1	21550.6	23432.3	28254.1	21218.1	16321.2	20676.1	16039.6	18186.8	28427	25882.5	23329.8	23876.1	22747.9	25703.7	22503.9	15702.8	16414.5	14472.1	19444	15855.0	20356.1	14465.2	18660.3	8392.2	11184.6	8560.1	16910.4	11761.4
alpha-Pinene	1993.5	1540.5	2003.1	1632.2	1715.1	1564.1	2132.6	1963.7	1405.9	2155.1	1492.4	1460.1	1431.3	1310.3	1364.8	1612.4	2261.8	2173.6	1984.8	1846.6	1636.6	1428.1	1513.9	1933.9	2072	1885.5	2197.7	1871.4	2196.3	2094.9	1858.8	1703.3	1717	1737.5	1838.8	2089.3	1926.0	1658.3	1635.1	1575.8	1766.8	1744.3	2896.2	8327.5	1696.3
1,2-Cyclopentanedione																					12250.8	6544.5	8526.5	16957	9617.9																				
2-Hydroxy-2-cyclopenten-1-one																					11765.1	6435.5	8080.7	16987.9	9617.9																				
4-Methyl-2-heptanone	12094.9	10149.2	7838.4	9408.1	8235	7993	10794.4	9630.4	8398	10722.3	3862.1	3752.7	5076	4227.9	4982.9	7069.9	9218.5	8056.6	7829.3	9465.2	11260.2	11442.9	12139.6	9377.6	11781.5	6869	7736.6	7459.8	6792.7	6818.5	9219.1	8626.4	8829.4	6801.5	7060.4	6679	5746.0	6632.5	5227.1	6218.5	5179.9	5494.0	6232.5	6762.6	5063.8
548	5925.3	4146.4	5296.3	5471	5169.1	3984.6	5547.4	4567.7	4991	4358.3	4062.3	3012.2	4893.4		4120.6	13428.9	10378.5	16964.7	10723.6	9771.3	5602.9	5789.2	5932.7	4942.7	5173.2	3828.5	3185.9		4096.6	3600.2	4652.3	4018.6	3573.2	4014.4	3704.3	2691.9	3152.7	3402.7	2878.7	3294.3	3176.6	3638.9	4313	4054.6	3211.4
549																					8956.7	6883.5	6926.6	9528.8	5540.5																				
Propylbenzene	13839.9	10002.7	10806.1	11934.7	10532	8693.9	11707.7	11347.4	11289.7	11377.9	8410	7946.1	10579.8	9609.6	10295	11029.6	13442.1	10321.9	10189.7	12799.3	11412.4	11996.7	11350.9	10454.6	9519.5	11101.7	9477.3	11519	9366.6	8956.3	9426.9	9904.6	9995.4	10264.3	7665	7967.9	6165.6	7428.6	6014.3	9663.3	8434.2	8508.9	8169.4	10608.7	7626.5
2-Methyl-6-heptanone	3524	2657.9	3001.4	3454.4	4150.4											10229.5	12836.9	12792.6	9970.3	13060.1	2665	2925.9	3838.2	3415.4	3886.6																				
2E-Heptenal																																													
6-Methyl-Heptan-2-ol																2888.5	3392.7	2976.9								2231.3		2735.2	1779.5	2282.8															
316	22736	17370.9	10215.5	22263.8	19667.8	13096.2	29415	16597.2	17550.5	31061	18254	19123.7	20198.7	20580.2	18650.1	25164.1	27209.0	22145.8	11909.3	24060.3	18980.1	24442.2	23024.9	21753.7	24611.9	20663	27254.9	24714.7	23982	22897.9	20363.8	20080.4	26389.2	23484.5	21361.3	25966.5	27162.2	24635.7	21259.4	27892.1	23943.6	29830.3	23435.5	27587.2	18687.7
Benzaldehyde	17589	22195.1	19151.2	20753.2	22931.3	14836.5	17702.3	24521.6	25115.3	23772.1	17601.1	12052.1	22859.5	23939.7	17454.9	11974.5	10493.5	17309	27815.7	20224.3	11229.1	19912.4	18761.7	19972.5	19644.9	14516.6	14855.6	51945.7	23166.9	20065.2	19456.1	15492.2	29703.2	23352.4	26549.8	31566.2	24094.5	32080.3	28726.8	29828.7	30372	36524.9	63626.8	51860.9	48521.6
5-Methyl-2-heptanone	89503.4	82616.3	67251.9	75690	87913.1	18575.2	21098.9	18503.4	17756.7	19304.2						97681.4	103335.8	108418	87379.3	112197.5	20655.3	21802.9	19810.5	16780.7	15509.4	2534.1	2408.3	6313	3633.8	3890.3	6925	5981.6	5062.5	6236.5	7645.2	6032.2	4791.6	5859.2	5706.1	6554.9					
5-Methylfurfural	2542.4	3216.4	2881	4001.1	3107		4479.8	4866	4408.3	2898.1						3412.4	3367.7	3238	4523.8	4033	1382.8		2542.4	3029.7	2527.6						2887.2	2116.1	3344.3	3432.7	2680.4	1770.1	1848.8	2141.3	2000.1	4656.4	1601.8	1640.0	1919	2876.1	4696.9
Dimethyl trisulfide	842304.4	796248.5	1020917.3	834973	929196.4	1117211	1393657	1198444.4	1168568.5	1461480.2	18112.7	29071.5	26119.3	31181.2	31921.7	404252.7	618398.7	433108.5	644830.2	545807.1	49599.3	54109.8	43067	29258.9	103715.7	259733.7	254973.7	667941.4	226082.7	144861.5	107026.4	70171.6	70275.3	141937.5	49670.9	865645.8	788221.5	912378	725320.7	930935.3	1384990.9	1972901.4	1738254.6	1325851.5	1042508.9
521	146069.1	132374.7	76223.8	120598.8	72203	70918.5	132063.8	87270.4	74377.2	105439.1	20981.2	12126.7	31809.8	22634.9	22697.8	76935.6	76780.1	91287.1	82570	105147.5	130800.4	131961.3	147115.4	93847	148301.3	68682.3	79834.0	82344.1	68363.3	70777.8	113177.5	64560.7	77083.5	42213.2	87063.2	59696.6	67716.6	95726.1	57827.4	64063.9	37874.2	53307.7	73355	77344.5	59348.6
Heptanol	8518.5	7908.3	5270.2	6901.6	4476.1	4377.9	7196.4	5900.8	4614.8	6205.2	2228.9	1794.2	2387.9	2189	1806.3	4974.7	4382.7	4220.2	3510.3	3997.9	8113.3	7747.7	9266.6	6299.9	8988.7	3877.4	5003.0	5056.4	4187.6	3594.9	6884	4011.2	5056.7	4199.1	5773.6	3851.2	4001.8	6064	3944.9	4554.2	2703.6	3292.8	4608	5131.9	3901.6
515	12426.8	10784.9	10945	10738.2	11509.3	19746	22762.8	14535.2	14720.4	13798.9	12770	33976.3	24575.2	14187.9	30577.3	10035.5	8343.0	8856.4	7803.7	11308.4	18255.6	10294.5	10769.8	9204.5	10136.7	30277.2	17949.6	14876.9	12182.1	19963.6	12089.2	9962.6	6751.2	9732	10228.6	23307.6	18434.2	18521.8	24090.8	21798.5	14675.8	14101.2	10767.7	14230.9	12591.5
1-Octen-3-one																																													
1-Octen-3-ol	9141.1	6351.7	7744.9	8710.8	11581.7											8136.2	13326.3	12593.6	11087.9	13906.1						9994.7	8283.8	16619.6	13610.7	9926.7											3598.4	6104.5	5108.6	5928.7	4294.6
Butyl methacrylate																																													
Aniline						2164.4		12087.7	3830.2																	8835	2034.9	244401.7																	
alpha-Methylstyrene	3630.1	5322	3802.9	7328.9	4188.6	2666.4	2574.4	5384.9	4128.7	5175.7	3282.8	5538.4	3208.8	5262.1	6321	5634.3	4339.7	3015.8	4431.4	6917.7	7629.3	4388.0	5212.9	4085.4	3316.2	3121.5	2816.9	4974	15877.9	4105.8	4752.6	6279.2	7274.4	8813	6600.8	4956.8	2881.8	3596.6	5986.7	10189.6	4983.7	4704.7	20039.1	8341.5	6456.6
3-Methyl-2(5H)-furanone  	1279.8	1147.2	2710.1	2003	2275.9	2101.5	2185.7	4067.5	3555.7	2186.3	1468	1090.3	2043.7	1356.1	1686.1		1744.4	1569	1938.4	1956.8	2157.4	2065.5	2159.4	2048.6	2389.1	2117	2188.6		3708	2680.9	2371.6	1559.6	2574.5	3482.3	2130	2152.3	1724.6	2366.4	1782.8	2061.1	1544.1	1615.4	1657.6	2118.9	1799.1
Hexanoic acid																																													
2,3-Octanedione	1146.6	1255.3	1043.7	1330.9	1505.3	4846.6	4756.3	4577.1	4261.2	3939.6	1620.1	1057	1934.4	1535.3	1018.4	4831.1	6435.6	6228.7	5161.4	6385.4	12798.1	10569.7	10385	11629.6	10195.7	1830.8	1846.6	2008.5	2457.3	2155.9	4534.3	4208.8	4216.7	4851	5375.2	2558.1	2755.3	3328.5	2243.6	2912.4					
Phenol 	4865.7	4833.6	19634.9	6420.7	6548.6	4659.1	9555.9	18544.2	16483.7	5402.7	3746.5	6194.6	6285.5	5102.5	7015.5	4908.2	5271.9	4347	14826.6	9544.9	9080.6	10087.3	16381.9	17110.2	13560	9668.6	4183.0	256500.3	14267.4	5974.4	6643.5	2425.4	3715.5	3174	2888.4	6698.6	3491.4	4165.2	3640	5309.1	4625.6	3307.6	6140.6	6474.3	5396.3
6-Methyl-5-heptene-2-one	1369		1069.7	1664.7	1806.2		1286.2	3995.6	3569.6	4101.5	1054.5		2339.3	1290.7	1363.4	6184.8	6445.2	8275.8	8264.9	9855.7	4664.4	4306.5	8927.8	6922	6253.5	1532.4	1253.4	2435.6	4563.7	3584.4	3046.3	2448.1	5816.3	5059.5	4905.3	1225.6	1611.8	4016.1	3841.7	4033.1	1018.1	1517.9	4943.7	4920.2	3741.5
2-Ethenyltetrahydro-2,6,6-trimethyl-2H-pyran																																													
450		1243.4		2133.2	3010.8	1429.3	2520	5491.7	4334	6641.4	1382.1	1304	2462.2	2802	2003			2129.2	2519.6	3350.8						3701.6	3248.9			12057.9	2536.3	2658.6	3158.6	3633.9	4910.1	3392.5	3420.1	4069	3076.1	6701.5					
4,6-Dimethyl-2-heptanone	5186.4	5070.5	3664.1	5490.7	6022.1	4273.1	7184.5	4717.7	4230.1	7313.8	2642.9	2085.9	4201.4	2603.3	2859.6						12797.1	12434.9	13847.4	12972.5	13180.6	5318.4	5219.4	5930.7	4925.3	5360.9	6994.9	6761.5	7362.8	6245.2	7515.6	4993	3589.1	5118.1	2886.8	5674	2549.2	2296.9	2214.2	4383.4	2687.5
2,2,4,6,6-Pentamethylheptane																																													
2-Octanone 																14167.3	19654.3	17878.8	16422	20220.1	11176.4	9996.7	12349.6	11172.7	9934.9																				
2-Pentylfuran	4140	6220.4	5448.5	9450.8	10630.8	5720.8	6969.5	6515.9	11844.1	3873.1	4531.4	2390.5	7666	5065.8	6489.4	4037.8	7236.6	5351.3	9982.4	9780.4	6852.4	12124.6	10895.5	11248.3	8290.4	2644.1	3744.0	11673	9449.8	3771.5	4156.9	6045.7	7007.1	7992.8	5421.5	7832.9	3229.2	4607.6	5933.4	7707.5	4841.8	4689.3	4615.1	7140.4	4284.5
1,2,4-Trimethylbenzene	5402.5	6731.3	4920.8	4440.7	6390.8	5108.5	6834.4	5810.8	5180	5870.5	4973.2	4571.9	4970.2	4652.2	3842.8	3487.8	5587.0	2015.6	2537.5	4647.3	5421.8	5414.6	5949.7	5708.4	4824.3	5901.1	6844.5	5720.4	6504.7	5864.7	5076.8	5685.8	6128.7	6091.9	5646.2	7624.1	5255.8	6015.1	4943.5	7318.6	6767.2	4967.2	4659	5534.9	5976.1
2,4,6-Trimethylpyridine	4145.7	3877.5	4129.3	3216.7	3004.7	4237.7	6459.8	6521	11238.1	6040.8	3700.7	3099.1	3808.4	3481.1	3660.8	24018.7	23492.0	26758.6	24435.1	23018.4	4197.5	4391.1	4137.7	2773.4	5340.2	6516.4	4912.6	7440.6	6551.3	5234.9	5104.5	3783.9	3688.1	3795.4	5065	6868.6	6195.0	5918.8	3387.9	5968.9	10201.5	9425.3	12358.6	12259.8	13058.9
2-Furanmethanol, acetate							2296.2	4244.7	4966.8	1904.8								3464.1	2762.9	2580.4																						3027.2	1661.9	1127.6	1536
2-Ethyl-4-methylpentanol	10527.7	8453.2	7977.5	10542.1	8765.8	2325.5	3193.5	4405.7	3214	2957.1	3825.2	2287.7	4971.8	3915.9	4316.4	3668.2	3364.0	3782.2	4258.6	3779.4	5544.3	5286.2	6150.2	5795.7	5974.8	10391.2	8004.3		8582.4	7807.7	18443.8	16631.7	19436.3	15145.1	18139.4	8450	8628.4	12239.8	7374.9	9499.1	2592.7	2356.6	1484.3	3256.3	1540.6
2-Ethyl-5-methylpyrazine 	24035.1	14086.8	17650	10759.5	19804.7	41145.9	66896.3	43320.2	54967.6	51395						12187.8	5037.4	14733.1	12970.2	7590.6		4015.5	3569.1	4025.4	4387.7	5378.6	5448.2	28501.8	7835.9	6126.8	11670.7	10136.3	14101.3	16188.8	18948.8	23203.6	12058.1	16386.5	8074.8	16455	5459.4	5275.9	8462.4	4419.2	
Decane	9929.5	8675.9	12970.7	9680.5	10029.5	6676	9159.1	9841.7	8710.4	7734.2	6006.4	5270.6	7260.9	6063.4	5483.6	6258.3	7446.7	7641.3	7628.8	6412.8	6901.2	5583.8	5184.3	5152.8	5011.2	10007.1	9268.0	13801.5	8433.6	9516.4	13948.9	13486.1	15472.4	13131.2	14998.2	7834.4	7360.2	9289.8	8336.1	8418.5	6972.5	6242.3	5550.9	7607	5639.2
Octanal											13649.4	10394.7	15179	16096.5	14303.1		12769.0		13025.1	13950.9																									
Trimethylpyrazine	730992	468459.9	411645	361737.6	533636.3	248924.1	439054.6	267938.5	280649	283278.6	13287.6	6249.9	36841	9799.6	9557.2	1825622.7	215508.0	3188052	300336.7	230059.1	17098656.3	19451467.1	19456050.6	23785224.6	19654025.1	424446.6	439380.4	610386.3	591829.1	597240.4	937625.2	648063.6	888296.7	830475.9	1125392.3	573235.4	529102.7	743903.2	452773.8	569599.3	304406	292508.3	642471.5	483721.8	423829.3
315	211743.8	191585.4	136007.7	180212.9	148634.6	133234.7	199926.4	154519.8	146044.5	164237.9	111486.6	95902.8	143348.5	134637.1	155410.7	128421.2	134142.7	158596.8	139839.8	163763	162612.2	163125.6	179264.6	149970.2	184852.6	138054.4	148844.2	147320.1	138158.5	149720.6	167975.1	104298.3	120300.9	92458.5	152345.3	104442.2	119186.1	166165.2	117272.7	136890.5	77222.7	117625.5	142528.6	171976.6	140776.9
516	8270.4	8557.4	6852.1	6962.1	7338.6	15436.4	19604.8	18452.9	19079.5	17794.4	10238.8	10147.4	13312.8	12255.5	10822.2	8791.5	8971.0	9667.7	6868.2	10386.7	7868.5	7667.6	7999.2	6501.3	9173.8	11760.3	10972.5	10892.9	11725.2	12318	9042.1	7617.1	10847.4	9143.1	10483.3	11654.5	8069.2	9003.8	7514.4	8929.7	9630.2	10433.4	16291	9585.2	9983.3
3Z-Hexenyl acetate	16241.3	15297.8	13064.3	13427.8	14244.9	25092.1	32806.4	29847.2	31356.3	30629.3	19161.8	18980.6	22458.9	22508.9	19786.5	16446.9	16124.0	18116.4	13900.5	19144.4	14310.9	14848.1	14045.1	9836.6	13996.8	20436.4	19329.4	23663.5	21123.6	20422.8	17105.1	14450.8	18601.6	17416	19259.1	20158.8	15182.7	16717.5	14469.6	16495.5	18069.8	20152.1	27599.1	19855.9	20869.1
Hexyl acetate	2959.7	1388.6	3488.6	2782.7	2481.1	1824.9	3310	7446.8	1919.3												3431.8	3204.8			3788.1																				
1,4-Dichlorobenzene	3250.9	3184.5	3119.1	3644.5	3744.4	3463.5	4468.9	3881.7	3909.7	3755.8	3122.5	2509.9	3707.5	3467	3376.8	3062.6	3597.6	3802.6	3265.5	3469.4	3353	2899.3	3825.3	3837.7	3474.2	4191.7	3984.2	3852.4	3790.3	4369.8	3011	2439.6	5388	4606	4662.6	3928.5	4091.0	4744.4	4247.2	4784.3	3177.3	4758.9	3813.1	4523.6	4345.8
2E,4E-Heptadienal																																													
522	73048	64039.6	48289.2	64775.1	41591.3	38126.6	74270.9	44133.3	42473.1	47167	26936.8	24543.4	41854.4	35471.7	58413.5	34953.2	35313.6	42458.9	42838.4	45317.1	59129.6	60470.7	68391	47741.3	69207.5	35947.9	43679.8	54638.5	41000.1	41815.7	48415	25609.1	31570.8	17311.7	47855.6	28593.8	40268.4	47874.3	29684.4	34891	21089.6	33730.5	44616.8	51038.9	41688.8
517	12303.8	9286.2	9790.7	10120.2	9251.2	11766.8	11714.3	15022.1	10154.5	13727.4	17370.7	17086.3	23423.2	21007.7	20279.9	9533.7	14111.0	9795.3	12634.3	11564.6	5946.8	4971.6	5032.5	5052	4676.4	22206.7	17154.5	11625	14551.8	14757.2	15041.3	11862.3	9856.3	12685	12127.3	16875	20381.3	20033.9	18524.5	18816.8	9922.8	11535.4	7621.8	8036.9	7870.8
4-Cyanocyclohexene	12330.7	10246.2	9045.2	13836.8	15334.8	9749.3	12528.2	14171.4	13644.8	12863.7	8277.9	9440	9367.2	10423.1	13854.8	8830.1	9412.9	9701.5	12637.5	12092.5	9122.3	9096.8	10683.9	9907.2	11232.9	12177.2	13028.6	10526.2	13405.1	13554.9	11630.4	11883.8	12406.2	12316.9	13896.3	10386.8	13001.3	9882.8	10465.7	10632.2	9596.2	12149.6	9216.6	11007.4	9601.3
523	8620.5	7506	6391.8	8677.9	7663.9	6015.1	6487.9	7267.7	6270.5	7238	5953.7	6030.9	6465.4	6695.6	7256.6	8899.6	9943.2	9868.8	9996.3	7940.1	9092.3	10239.5	10077.6	9587	10661.6	6620.5	5835.4	6662	5843.9	5929.2	8616.1	7808.2	7619.8	6974.8	7702.9	4857.1	5082.7	5199.5	4079.1	4714.7	5982	6648.0	5603	7217.4	5115.4
1,2,3-Trimethylbenzene	1523.4	1848.3	1180.7	1335.9	1642.3	1228.6	1632.2	1490.8	1509.6	1270.8	1247.9	1138	1026.8	1101.6	1042.6	1564.5	1638.2	1439.2	1346.8	1228	1238	1431.5	1724	1643.6	1063.1	1206.7	1795.8	1940.2	1589.3	1862.4	1723.1	1474.2	1663.3	1468.8	1510.6	1865.9		1480.3	1109.4	1188.5	1923.2	1633.0	1216.1	1660.6	1418
p-Cymene	2714.1	2274.1		1649	2057.7	1755.3	2168.6	3338.2	2967.8	4564.1	2285.5	1844.5	1473.8	2449.3		3420.4	2063.1	4430.3	5610.3	2608.4	2828.9	3274.5	32986.4	3641.4	6838.6	2679.3	2515.4		3773.3	4456	2774.9	2681.7	2662.9	2780.9	3070.3	3335	2885.7	3725.4	3776.1	4320.4	2694.9	2773.6	13890.2	73895.6	4267.2
518	6846.6	6165.3	8900.4	8079.5	7205.1	15708.7	17544.9	11938.7	16413.9	12541.7	13300.1	36375.5	26916.9	14608.4	33539.8	8757.4	9566.6	10127.1	9616.5	10669.3	17475.8	11117.0	11213.5	9627.2	11001.7	30964.4	17694.0	22976.4	12571.6	22494.5	13871.6	9824.3	6483.9	9823	9882.7	12290.1	14058.2	16248.9	14677.8	15313	7808.9	6076.1	8603	7987	4595.3
Limonene	7385.8	7741.3	8227.6	7285.2	8792.2	5455	5800.7	6508.2	12397.4	7406.3	5574.6	6717.8	6503.6	7861.4	5821.5	6545.6	15512.8	7408.6	9218	6663.8	5394.2	5022.4	19146.7	7487.6	25823.8	20074.7	20477.4	18881.4	20269.4	19406.8	6790.1	6497.8	10074.3	9407.4	13616	7688.4	8529.6	7930.7	30668.6	8218.6	13885	15796.6	17995.7	57282.6	15601.2
2-Ethyl-1-hexanol	13769	10001.5	18351.8	13622.5	19020.5	4593.8	6717.1	14057.4	10273.6	7757.2	7161.5	5890.6	9193.2	8081.9	6540.3	5791.5	8528.7	10455.2	11883.4	11080.6	10675	17000.2	17294.1	25705.4	19063.9	17173	15691.2	66548.9	27181.7	21865	39062.2	38541.9	34267.8	43297.3	48676.8	18752.5	22579.2	28976.3	20720.7	23724	10034.8	7168.5	8314.9	8275	8573
5-Ethyl-2(5H)-furanone	3956	3229.9	5122.9	4621.1	5070.9			3713.1	3369.5	2420.5	2317.4	1593.8	2656.1	2224.9		1731.1	1831.2	2806.1	2115.7	2512.2	4171.6	4379.6	5064.3	6979.6	5713.2	5944.6	4810.2	20198	7708.2	6843.1	11349	10925.3	11407.1	11911.7	14106.2	5721	5654.4	6805.2	4921.3	6777.4	2298.1	1629.8	2392.4	3743.8	1929.8
