baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Compound
362829.03698772	-0.317799954588449	0.422808128410931	-0.751641071288906	0.452266937207942	0.755761855597482	Ethyl alcohol 
12481.1203377752	-1.23247635714446	0.613846859279537	-2.00779125691219	0.0446654783132722	0.145449121686809	2-Propenal 
104833.768659286	0.0778251441225725	0.242556931853494	0.320853102518544	0.748321715103565	0.995527961525585	Trimethylamine 
207304.150844881	-0.302536129975726	0.690046945298948	-0.438428330183621	0.661075813462803	0.975367705556912	2,3-Butanedione 
410457.143975116	0.609245245889473	0.201656832824297	3.02119812830893	0.00251776553225501	0.0130512743916893	2-Methylpropanal
407999.875859535	0.605931949024587	0.18302050713065	3.31073254316819	0.000930521003422594	0.00513809423628997	2-Butanone 
13413.9510267892	-0.660576804394749	1.14055951492065	-0.579169079520331	0.562475092218911	0.881905391503724	2-Propen-1-ol
7233.11088420978	0.825049939697849	0.535806590595818	1.53982790465565	0.123602308096135	0.301874867850176	2-Ethoxy-2-methylpropane
2499.5035603452	-0.0590275304548431	0.777329320074539	-0.0759363231650426	0.939469758567271	0.995527961525585	3-Methylbutanal 
8180.65375929245	0.274431723975349	0.161484627264186	1.69942940467258	0.0892383055109836	0.241133293614786	Amylene Hydrate
6937.0424625637	0.0909353322230245	0.744751934132053	0.122101505287129	0.902818629754112	0.995527961525585	Benzene 
59129.0175345898	-0.00803517624539471	0.159679598641656	-0.0503206190004698	0.959866892996594	0.995527961525585	3-Methyl-2-butanone 
46625.0190509808	1.35562713505257	0.358782780149409	3.77840635073968	0.000157835185494011	0.00106397212682678	25
0	NA	NA	NA	NA	NA	1-Butanol 
0	NA	NA	NA	NA	NA	2-Methylbutanal
53884.7467396968	0.737569220027223	0.948544111757221	0.777580305317422	0.436816475300732	0.744640165948898	Acetic acid 
62581.580687075	-0.0988217744502406	0.648077645504625	-0.152484467155618	0.878804840590791	0.995527961525585	2-Pentanone
0	NA	NA	NA	NA	NA	Heptane
3190.11863855631	16.0817093984336	3.30410340911468	4.86719312539394	1.13194402576392e-06	9.9142683635874e-06	2,3-Pentanedione
9486.00824221025	0.183518528252729	1.29081616216882	0.142172474773156	0.886943772860151	0.995527961525585	1-Penten-3-ol 
5779.59552689533	1.51965365333763	0.585161500181923	2.59698160741126	0.00940469598357622	0.0419086452601466	Pentanal
99653.9403124428	-0.66116302437279	0.779520170389423	-0.848166666479579	0.396345158293797	0.712350643378911	1-Hydroxy-2-propanone 
3789.30260182038	0.0895328846743199	0.851587943618871	0.105136392952964	0.916267581916477	0.995527961525585	Propanoic acid  
0	NA	NA	NA	NA	NA	n-Propyl acetate
252571.939658195	-0.158201538668957	6.25464247718087	-0.025293458298557	0.979820891785001	0.995527961525585	3-Hydroxy-2-butanone
3125.16671488559	0.289739597818098	0.236588754815146	1.22465498431859	0.220705241681302	0.487470707713483	3-Methyl-1-buten-1-ol 
9355.03771214622	-0.319382682047056	0.63136368995762	-0.50586165648597	0.612953771427847	0.937893120136585	2E-Penten-1-ol
68310.670593494	-0.352967586994707	0.67791395153516	-0.520667241314918	0.602598598593596	0.927636630562262	4,4-Dimethyl-2-pentanone
24621.524333467	0.0580436533185374	0.150294882544164	0.386198467545836	0.699349688598824	0.995527961525585	Methyl Isobutyl Ketone
3626.81567511161	0.310158905286406	0.673120592811972	0.460777620828256	0.644958159242974	0.969021539102068	2Z-Pentenol
4196120.74857023	0.3368461866679	0.132707515716854	2.53826005896001	0.0111405166054989	0.0479608680982493	Dimethyl disulfide
494292.971936852	0.600654428928478	0.168488078813144	3.56496692917137	0.000363902070023845	0.00220074109014421	520
199338.793350619	0.206038275271889	0.124047613277645	1.66096122148462	0.0967212351988836	0.250685650413433	2,2,3-Trimethylpentane
0	NA	NA	NA	NA	NA	Pyridine
8264.41793066687	0.0231117072295545	0.580857386227547	0.0397889529814823	0.968261383501915	0.995527961525585	3-Methyl-1-butanol
7311.17577304084	0.336491217031253	0.155691996654552	2.16126213460964	0.030675096131534	0.111306777391566	1-Pentanol
14514.5237538141	0.293520979247484	0.1545798649796	1.89883060957661	0.0575867512171878	0.178378473282509	2,2,5,5-Tetramethyltetrahydrofuran
33940.6437061676	-0.0545926301517989	0.206296722107527	-0.264631592756689	0.791293280018434	0.995527961525585	Toluene
6702.65443262799	-0.158099122348463	6.25464247718087	-0.0252770838501584	0.979833952528742	0.995527961525585	551
1268.02756532892	-0.479879038790474	1.5299129216267	-0.313664282461409	0.75377603109989	0.995527961525585	3-Hexanone
0	NA	NA	NA	NA	NA	2,2,4-Trimethylhexane
2261.11697791377	0.00635200361178658	0.550678169983161	0.0115348745565506	0.990796705769142	0.998183044636575	2-Hexanone
46652.3237502549	0.0957442190547839	0.119995569200614	0.797897953171208	0.424929711287719	0.73423229025225	Cyclopentanone
15159.1465507966	0.800544300265107	0.378475285258687	2.11518250053749	0.0344143958277193	0.11974324027727	321
1825.74483269067	-0.157902720410669	3.49703865431473	-0.0451532670981045	0.96398514368164	0.995527961525585	Octane
39866.9070377403	0.140751708987248	0.142902530721856	0.984949029777543	0.324649108166798	0.654451376780687	4-Methyl-3-penten-2-one
4063.46179542781	-0.569494056478449	0.647889567081504	-0.878998652569454	0.37940200642038	0.703416858618806	Hexanal
0	NA	NA	NA	NA	NA	2-Cyclopenten-1-one
12041.1673802643	29.7643727746125	2.510712215748	11.8549519884918	2.02840456076964e-32	5.15214758435489e-31	2,3-Butanediol 
2317.21455787981	-0.158069148726612	6.25464247718088	-0.0252722916303056	0.97983777494588	0.995527961525585	552
